시설명,분점명,카테고리1,카테고리2,카테고리3,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,전화번호,홈페이지,블로그 주소,페이스북 주소,인스타 주소,휴무일,운영시간,무료주차 가능여부,유료주차 가능여부,입장료 유무 여부,장애인용 출입문,휠체어 대여 가능 여부,장애인 화장실 유무,장애인 전용 주차장 여부,대형주차장 가능여부,시각장애인 안내견 동반 가능 여부,점자 가이드 여부,오디오 가이드(한국어),최종작성일
송정해수욕장,,문화관광/명소,관광지,해수욕장,부산광역시,해운대구,송정동,,713-3 번지,,,35.17726009,129.198153,,,부산광역시 해운대구 송정동 713-3,051-749-5800,sunnfun.haeundae.go.kr/,정보없음,정보없음,정보없음,연중무휴,상시개방,N,Y,N,Y,N,Y,N,N,Y,Y,N,2022-11-25
수아트홀,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,해운대구,중동,,1394-284 번지,중동1로19번길,14 번,35.16334566,129.162522,48095,부산광역시 해운대구 중동1로19번길 14,부산광역시 해운대구 중동 1394-284,051-744-1415,sooarthall.com/,정보없음,정보없음,정보없음,공연별 상이,공연에따라 다름,N,N,Y,N,N,N,N,N,N,N,N,2022-11-25
수영만요트경기장,,레저/체육/공원,대형레저시설,요트장,부산광역시,해운대구,우동,,1393 번지,해운대해변로,84 번,35.15979857,129.141957,48090,부산광역시 해운대구 해운대해변로 84,부산광역시 해운대구 우동 1393,051-741-6440,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
수영사적공원수영민속예술관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,수영구,수영동,,336-1 번지,,,35.17092391,129.113435,48229,,부산광역시 수영구 수영동 336-1,051-752-2947,www.suyeongminsok.or.kr/,정보없음,정보없음,www.instagram.com/suyeongminsok/,"매주 토요일, 일요일, 공휴일",매일 09:00-18:00,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,2022-11-25
스카이라인루지,부산,레저/체육/공원,대형레저시설,N,부산광역시,기장군,기장읍,시랑리,산 46 번지,기장해안로,205 번,35.19421481,129.219607,46083,부산광역시 기장군 기장읍 기장해안로 205,부산광역시 기장군 기장읍 시랑리 산 46,051-722-6002,www.skylineluge.kr/busan/,정보없음,정보없음,정보없음,연중무휴,"주중(월-금):오전 10:00 부터 오후 7:00시 까지 (티켓 판매 종료 오후 6:30) ,주말(토, 일) 및 공휴일:오전 10:00 부터 오후 8:00시까지 (티켓 판매 종료 오후 7:30)",Y,Y,Y,Y,N,Y,Y,Y,N,N,N,2022-11-25
스타일골프연습장,,레저/체육/공원,대형체육시설,N,부산광역시,수영구,광안동,,964 번지,망미번영로16번나길,42 번,35.16662697,129.108285,48244,부산광역시 수영구 망미번영로16번나길 42,부산광역시 수영구 광안동 964,0507-1391-2203,정보없음,정보없음,정보없음,정보없음,연중무휴,매일 08:00-00:00,Y,N,Y,N,N,N,N,Y,N,N,N,2022-11-25
스톤게이트CC,,레저/체육/공원,대형레저시설,골프장CC,부산광역시,기장군,일광읍,용천리,534 번지,곡천길,317 번,35.28224232,129.20151,46046,부산광역시 기장군 일광읍 곡천길 317,부산광역시 기장군 일광읍 용천리 534,051-722-7000,www.stonegatecc.co.kr/,정보없음,정보없음,정보없음,공휴일,매일 07:00-24:00,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,2022-11-25
스포원워터파크,,레저/체육/공원,대형레저시설,워터파크,부산광역시,금정구,두구동,,1641 번지,체육공원로399번길,324 번,35.28912174,129.107042,46207,부산광역시 금정구 체육공원로399번길 324,부산광역시 금정구 두구동 1641,1577-0880,www.spo1.or.kr/main/main.do,정보없음,www.facebook.com/spo1park,www.instagram.com/spo1_park/,연중무휴,06:00-21:20,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,2022-11-25
스포원파크,,레저/체육/공원,공원,대형시민/도심공원,부산광역시,금정구,두구동,,1641 번지,체육공원로399번길,324 번,35.28912174,129.107042,46207,부산광역시 금정구 체육공원로399번길 324,부산광역시 금정구 두구동 1641,1577-0880,www.spo1.or.kr/,정보없음,정보없음,정보없음,"매월 2, 4주 월요일, 공휴일",시설마다상이,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,2022-11-25
스포원파크 금정체육공원어린이교통나라,,문화관광/명소,관광지,N,부산광역시,금정구,두구동,,1641 번지,체육공원로399번길,324 번,35.28912174,129.107042,46207,부산광역시 금정구 체육공원로399번길 324,부산광역시 금정구 두구동 1641,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
스포원파크사이드롬,,레저/체육/공원,대형레저시설,경륜장,부산광역시,금정구,두구동,,1641 번지,체육공원로399번길,324 번,35.28912174,129.107042,46207,부산광역시 금정구 체육공원로399번길 324,부산광역시 금정구 두구동 1641,1577-0880,www.spo1.or.kr/main/main.do,blog.naver.com/spo1_park,www.facebook.com/spf.kakao.com/_HxkFWjpo1park,정보없음,"매월 2, 4주 월요일, 공휴일","프리미엄라운지 경륜경주일 10:30-경주종료까지,VIP라운지 경륜경주일 10:30-경주종료까지,휴라운지 금-일 11:00-경주종료까지 ,플레이라운지 수-일 10:30-경주종료까지,가족북카페 수-일 (11:00-경주종료까지)",Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,2022-11-25
스포츠힐링파크,,문화관광/명소,관광지,테마공원/대형놀이공원,부산광역시,기장군,정관읍,모전리,676 번지,모전로,7 번,35.34132097,129.163151,46005,부산광역시 기장군 정관읍 모전로 7,부산광역시 기장군 정관읍 모전리 676,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
신라대학교박물관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,사상구,괘법동,,산 1-23 번지,백양대로700번길,140 번,35.1720525,128.997797,46958,부산광역시 사상구 백양대로700번길 140,부산광역시 사상구 괘법동 산 1-23,051-999-5281,museum.silla.ac.kr/,정보없음,정보없음,정보없음,"매주 토요일, 일요일, 공휴일","학기 중 10:00-16:00, 방학 중 10:00-15:00",Y,N,N,Y,N,Y,N,Y,N,N,N,2022-11-25
신명천지소극장,,전시/공연,영화/연극/공연,N,부산광역시,금정구,부곡동,,333-3 번지,부곡로,77 번,35.22285656,129.090666,46306,부산광역시 금정구 부곡로 77,부산광역시 금정구 부곡동 333-3,051-515-7314,www.jagalchi.or.kr/,정보없음,정보없음,정보없음,공연별 상이,공연시간에운영,N,N,Y,N,N,N,N,N,Y,N,N,2022-11-25
신선대유원지,,문화관광/명소,관광지,일반유원지/일반놀이공원,부산광역시,남구,용당동,,산 170 번지,,,35.10326168,129.101306,,,부산광역시 남구 용당동 산 170,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,Y,N,N,N,N,N,N,N,Y,N,N,2022-11-25
신세계문화홀,신세계백화점센텀시티점,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,해운대구,우동,,1495 번지,센텀남대로,35 번,35.16881784,129.129523,48058,부산광역시 해운대구 센텀남대로 35,부산광역시 해운대구 우동 1495,051-745-1168,www.shinsegae.com/culture/culturehall/about.do,정보없음,정보없음,정보없음,정보없음,"평일 11:00-20:00 금요일 11:00-20:30,주말 11:00-20:30",Y,Y,N,Y,Y,Y,Y,N,N,Y,N,2022-11-25
씨프랜드스킨스쿠버,,레저/체육/공원,대형레저시설,요트장,부산광역시,사상구,주례동,,693-7 번지,가야대로,229-6 번,35.15053139,128.997884,47001,부산광역시 사상구 가야대로 229-6,부산광역시 사상구 주례동 693-7,051-326-8400,www.seafriend.net/,정보없음,정보없음,정보없음,연중무휴,매일00:00-24:00,N,Y,N,N,N,N,N,N,N,N,N,2022-11-25
아델라아트홀,,전시/공연,영화/연극/공연,N,부산광역시,수영구,남천동,,69-19 번지,수영로,409 번,35.14287674,129.108326,48316,부산광역시 수영구 수영로 409,부산광역시 수영구 남천동 69-19,0507-1337-2543,정보없음,blog.naver.com/altkah1,정보없음,정보없음,정보없음,매일 11:00-22:00,N,N,N,N,N,N,N,N,Y,N,N,2022-11-25
아르코연주홀,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,금정구,구서동,,491 번지,체육공원로19번길,5 번,35.24619651,129.095011,46251,부산광역시 금정구 체육공원로19번길 5,부산광역시 금정구 구서동 491,051-581-2223,정보없음,정보없음,정보없음,정보없음,연중무휴,전화예약에 따라 다름,Y,N,Y,N,N,N,N,N,N,N,N,2022-11-25
아리랑민속박물관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,기장군,일광읍,삼성리,189-10 번지,일광로,23 번,35.26122653,129.228095,46044,부산광역시 기장군 일광읍 일광로 23,부산광역시 기장군 일광읍 삼성리 189-10,0507-1467-0584,정보없음,정보없음,정보없음,정보없음,정보없음,"토, 일 11:00-20:00",N,N,N,N,N,N,N,N,N,N,N,2022-11-25
아리안갤러리,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,수영구,민락동,,110-28 번지,광안해변로344번길,17-22 번,35.15504169,129.131973,48280,부산광역시 수영구 광안해변로344번길 17-22,부산광역시 수영구 민락동 110-28,051-757-2130,ariangallery.com/,정보없음,정보없음,정보없음,"매주 일요일, 월요일, 공휴일",12-7시,Y,N,N,Y,N,N,N,N,Y,N,N,2022-11-25
아모스아트홀,,전시/공연,영화/연극/공연,N,부산광역시,남구,대연동,,1752-6 번지,수영로,204 번,35.13470739,129.088867,48492,부산광역시 남구 수영로 204,부산광역시 남구 대연동 1752-6,,amosarthall.modoo.at/,정보없음,정보없음,정보없음,정보없음,정보없음,N,Y,N,N,N,N,Y,N,Y,Y,N,2022-11-25
아미산자생식물원,,문화관광/명소,관광지,식물원,부산광역시,사하구,다대동,,928 번지,,,35.0611994,128.970587,,,부산광역시 사하구 다대동 928,,정보없음,정보없음,정보없음,정보없음,정보없음,상시개방,N,N,N,N,N,Y,N,Y,N,N,N,2022-11-25
아시아드CC,,레저/체육/공원,대형레저시설,골프장CC,부산광역시,기장군,일광읍,이천리,12 번지,차양길,26 번,35.28716826,129.240168,46041,부산광역시 기장군 일광읍 차양길 26,부산광역시 기장군 일광읍 이천리 12,051-720-6000,www.asiadcc.co.kr/,정보없음,정보없음,정보없음,공휴일,"하절기 05:00-22:00, 동절기 07:00-22:00",Y,N,Y,N,N,N,Y,Y,N,N,N,2022-11-25
아이러브요트,,레저/체육/공원,대형레저시설,요트장,부산광역시,해운대구,우동,,1393 번지,해운대해변로,84 번,35.15979857,129.141957,48090,부산광역시 해운대구 해운대해변로 84,부산광역시 해운대구 우동 1393,,iloveyouyachttour.modoo.at/,blog.naver.com/dldlrghgks13,정보없음,www.instagram.com/iloveyouyacht/,연중무휴,09:00-24:00,Y,N,Y,Y,N,N,Y,Y,Y,N,N,2022-11-25
아쿠아월드(2023년예정),,레저/체육/공원,대형레저시설,워터파크,부산광역시,기장군,기장읍,시랑리,719 번지,,,35.18940339,129.217181,46084,,부산광역시 기장군 기장읍 시랑리 719,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
아트레볼루션전용관,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,수영구,남천동,,556-23 번지,황령대로,493 번,35.13829334,129.107913,48313,부산광역시 수영구 황령대로 493,부산광역시 수영구 남천동 556-23,,정보없음,정보없음,www.facebook.com/ArtRevolutionTheater,정보없음,매주 월요일,10:00-22:30,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,2022-11-25
아트부산,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,해운대구,우동,,1500 번지,APEC로,55 번,35.16906372,129.136018,48060,부산광역시 해운대구 APEC로 55,부산광역시 해운대구 우동 1500,051-740-7300,www.bexco.co.kr/,blog.naver.com/bexcoblog,www.facebook.com/bexcokr,http://instagram.com/bexco_busan_/,상시변동,"행사에 따라 다름, 행사 대관은 일반적으로 09:00-18:00, 출입문 개방 폐쇄는 일반적으로 06:00-22:00",N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,2022-11-25
아트스페이스누리봄,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,연제구,거제동,,42-23 번지,명륜로2번길,27 번,35.1945345,129.080342,47514,부산광역시 연제구 명륜로2번길 27,부산광역시 연제구 거제동 42-23,051-503-4072,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
아트팩토리공감,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,남구,대연동,,1751-2 번지,수영로,216-1 번,35.13479504,129.090222,48492,부산광역시 남구 수영로 216-1,부산광역시 남구 대연동 1751-2,0507-1342-4681,정보없음,정보없음,정보없음,정보없음,연중무휴,11:00-20:00,N,Y,N,N,N,N,N,N,N,N,N,2022-11-25
아홉산숲,,문화관광/명소,관광지,휴양림/수목원,부산광역시,기장군,철마면,웅천리,26 번지,미동길,37-1 번,35.28704277,129.171518,46050,부산광역시 기장군 철마면 미동길 37-1,부산광역시 기장군 철마면 웅천리 26,051-721-9183,www.ahopsan.com/,정보없음,정보없음,정보없음,매주 월요일,09:00-18:00,Y,N,Y,Y,N,N,N,N,N,N,N,2022-11-25
안데르센극장,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,기장군,장안읍,기룡리,산 126 번지,장안로,211 번,35.36009981,129.240029,46028,부산광역시 기장군 장안읍 장안로 211,부산광역시 기장군 장안읍 기룡리 산 126,051-728-3909,gijangandersen.org/main.php,정보없음,정보없음,정보없음,연중무휴,공연정보에 따라 다름,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,2022-11-25
안데르센동화마을(2022년12월예정),,문화관광/명소,관광지,테마공원/대형놀이공원,부산광역시,기장군,장안읍,기룡리,산 126 번지,장안로,211 번,35.36009981,129.240029,46028,부산광역시 기장군 장안읍 장안로 211,부산광역시 기장군 장안읍 기룡리 산 126,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
안용복기념부산포개항문화관,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,동구,좌천동,,722 번지,증산로,100 번,35.13563775,129.052948,48724,부산광역시 동구 증산로 100,부산광역시 동구 좌천동 722,051-633-1696,정보없음,정보없음,정보없음,정보없음,매주 월요일,09:00-18:00,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
안평차량사업소경전철홍보관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,기장군,철마면,안평리,358-1 번지,반송로,1180 번,35.24348253,129.177446,46051,부산광역시 기장군 철마면 반송로 1180,부산광역시 기장군 철마면 안평리 358-1,051-605-0115,정보없음,정보없음,정보없음,정보없음,"매주 토요일, 일요일, 공휴일",10-17시,Y,N,N,Y,N,N,Y,Y,N,N,N,2022-11-25
애플컴퓨터박물관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,중구,중앙동,,37-32 번지,40계단길,7 번,35.10406685,129.035086,48930,부산광역시 중구 40계단길 7,부산광역시 중구 중앙동4가 37-32,,www.applemuseum.co.kr/,정보없음,정보없음,정보없음,매주 일요일,월-토 10:00-17:00,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
액터스소극장,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,수영구,남천동,,12-19 번지,남천동로,7 번,35.14303107,129.109808,48307,부산광역시 수영구 남천동로 7,부산광역시 수영구 남천동 12-19,051-611-6616,정보없음,정보없음,https://url.kr/ec2n5t,정보없음,공연별 상이,공연에따라 유동적,N,N,Y,N,N,N,N,N,N,N,N,2022-11-25
어댑터플레이스,,전시/공연,영화/연극/공연,N,부산광역시,수영구,광안동,,197-18 번지,광안해변로,193 번,35.15165571,129.116741,48303,부산광역시 수영구 광안해변로 193,부산광역시 수영구 광안동 197-18,,www.yes-weare.com/,정보없음,https://url.kr/s314na,www.instagram.com/yesweare_adapter/,연중무휴,00:00-24:00,N,N,N,N,N,N,N,N,Y,Y,Y,2022-11-25
어바웃더요트,,레저/체육/공원,대형레저시설,요트장,부산광역시,해운대구,우동,,1393 번지,해운대해변로,84 번,35.15979857,129.141957,48090,부산광역시 해운대구 해운대해변로 84,부산광역시 해운대구 우동 1393,051-746-3295,정보없음,정보없음,정보없음,www.instagram.com/about_the_yacht/,정보없음,정보없음,N,N,Y,N,N,N,N,N,N,N,N,2022-11-25
에덴유원지,,문화관광/명소,관광지,테마공원/대형놀이공원,부산광역시,사하구,하단동,,786-1 번지,,,35.10916994,128.962268,49309,,부산광역시 사하구 하단동 786-1,051-220-6041,korean.visitkorea.or.kr/detail/ms_detail.do?cotid=64194709-dc74-432a-9f3f-8ab0e0f7ad56,정보없음,정보없음,정보없음,정보없음,매일 00:00-24:00,N,N,N,N,N,N,N,N,Y,N,N,2022-11-25
에저또소극장,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,남구,대연동,,314-24 번지,수영로293번길,42 번,35.13822258,129.097365,48434,부산광역시 남구 수영로293번길 42,부산광역시 남구 대연동 314-24,051-852-9161,cafe.daum.net/ejotto,정보없음,정보없음,정보없음,공연별 상이,공연에따라 변동,N,N,Y,N,N,N,N,N,N,N,N,2022-11-25
엔씨소극장,,전시/공연,영화/연극/공연,N,부산광역시,금정구,장전동,,40 번지,부산대학로63번길,2 번,35.2322428,129.083824,46241,부산광역시 금정구 부산광역시대학로63번길 2,부산광역시 금정구 장전동 40,051-509-7084,cafe.naver.com/nc7085,정보없음,정보없음,정보없음,"매주 일요일, 월요일, 공휴일",10:30-17:30,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,2022-11-25
엘리그레이,,전시/공연,영화/연극/공연,N,부산광역시,부산진구,부전동,,188-2 번지,중앙대로680번가길,33-9 번,35.15482995,129.060197,47295,부산광역시 부산진구 중앙대로680번가길 33-9,부산광역시 부산진구 부전동 188-2,0507-1363-1030,정보없음,정보없음,정보없음,정보없음,정보없음,매일 12:30-20:30,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
여기는극장입니다,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,부산진구,연지동,,168-13 번지,동평로,221 번,35.16958243,129.051411,47133,부산광역시 부산진구 동평로 221,부산광역시 부산진구 연지동 168-13,,chili2012.modoo.at/,정보없음,정보없음,www.instagram.com/chiliactor/,정보없음,12:00-23:00,Y,N,N,Y,N,N,N,N,N,N,N,2022-11-25
연제나무그늘,6호점,전시/공연,전시/기념관,N,부산광역시,연제구,거제동,,1179-4 번지,아시아드대로46번길,45 번,35.1884749,129.0707,47525,부산광역시 연제구 아시아드대로46번길 45,부산광역시 연제구 거제동 1179-4,051-507-8171,bgjswc.or.kr/,정보없음,정보없음,정보없음,"매주 일요일, 공휴일",월-금 (10:00-17:00),Y,N,N,Y,N,Y,Y,N,Y,Y,N,2022-11-25
연제문화원,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,연제구,거제동,,581-1 번지,거제대로,180 번,35.18428551,129.071201,47543,부산광역시 연제구 거제대로 180,부산광역시 연제구 거제동 581-1,051-752-9113,www.yjculture.co.kr/,정보없음,정보없음,정보없음,"매주 토요일, 일요일, 공휴일",매일09:00-18:00,Y,N,N,Y,N,Y,Y,N,Y,Y,N,2022-11-25
연화랑,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,영도구,영선2동,,4 번지,영선대로,41 번,35.08499639,129.040033,49051,부산광역시 영도구 영선대로 41,부산광역시 영도구 영선동4가 4,051-415-1021,정보없음,정보없음,정보없음,정보없음,정보없음,"매일 10:00-17:00 주말 10시 부터 13시 (단, 예약 후 관람가능)",N,N,N,N,N,N,N,N,N,N,N,2022-11-25
영광문화예술원,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,부산진구,부전동,,401-9 번지,새싹로,37 번,35.16084886,129.056334,47256,부산광역시 부산진구 새싹로 37,부산광역시 부산진구 부전동 401-9,051-816-9400,정보없음,blog.naver.com/ykykart,www.facebook.com/ykykart,정보없음,"매주 토요일, 일요일, 공휴일",월-금 오전 10:00-오후 7:00,N,N,N,N,N,N,N,N,Y,Y,Y,2022-11-25
영도마린축구장,,레저/체육/공원,대형체육시설,지역축구장,부산광역시,영도구,동삼동,,1157 번지,해양로,307 번,35.0812211,129.075858,49111,부산광역시 영도구 해양로 307,부산광역시 영도구 동삼동 1157,051-419-4151,www.yeongdo.go.kr/reserve/01786/01807.web,정보없음,정보없음,정보없음,공휴일,예약제,Y,N,N,Y,N,Y,Y,N,N,N,N,2022-11-25
영도문화원,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,영도구,동삼동,,516-1 번지,함지로79번길,6 번,35.07526538,129.066859,49114,부산광역시 영도구 함지로79번길 6,부산광역시 영도구 동삼동 516-1,051-403-1861,www.ydculture.com/,정보없음,정보없음,정보없음,정보없음,정보없음,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,2022-11-25
영도조내기고구마역사기념관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,영도구,청학동,,484-1 번지,벚꽃길,75 번,35.08529261,129.058327,49087,부산광역시 영도구 벚꽃길 75,부산광역시 영도구 청학동 484-1,051-419-4047,www.yeongdo.go.kr/tour/01462/01470.web?amode=view&idx=2308&,정보없음,정보없음,정보없음,"매주 월요일, 공휴일",10:00-18:00,Y,N,N,Y,N,Y,Y,N,Y,Y,Y,2022-11-25
영상산업센터,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,해운대구,우동,,1466-2 번지,센텀서로,39 번,35.1722864,129.126629,48058,부산광역시 해운대구 센텀서로 39,부산광역시 해운대구 우동 1466-2,051-720-0357,www.bvic.kr/,정보없음,정보없음,정보없음,"매주 토요일, 일요일, 공휴일","(5-6층,9-12층)오전 9시-오후 6시,(8층,11층)오전 9시-오후 10시",Y,Y,N,Y,N,Y,Y,N,N,Y,N,2022-11-25
영아트공방,,전시/공연,영화/연극/공연,N,부산광역시,강서구,대저2동,,2013-1 번지,공항로811번가길,8 번,35.17934809,128.956736,46720,부산광역시 강서구 공항로811번가길 8,부산광역시 강서구 대저2동 2013-1,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,Y,N,N,Y,N,Y,Y,Y,N,Y,N,2022-11-25
영화의전당,,전시/공연,영화/연극/공연,대형예술센터,부산광역시,해운대구,우동,,1467 번지,수영강변대로,120 번,35.17103653,129.127085,48058,부산광역시 해운대구 수영강변대로 120,부산광역시 해운대구 우동 1467,051-780-6000,www.dureraum.org/bcc/main/main.do?rbsIdx=1,정보없음,정보없음,www.instagram.com/dureraum/,연중무휴,"영화 상영 시간 마다 상이, 영화전문자료실 10:00-19:00",Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,2022-11-25
예술은공유다,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,수영구,광안동,,197-18 번지,광안해변로,193 번,35.15165571,129.116741,48303,부산광역시 수영구 광안해변로 193,부산광역시 수영구 광안동 197-18,051-911-1447,www.adapter.theater/index,blog.naver.com/yesweare0080,정보없음,정보없음,정보없음,주중 10:00-19:00,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
예술지구P,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,금정구,회동동,,157-6 번지,개좌로,162 번,35.2259608,129.118326,46259,부산광역시 금정구 개좌로 162,부산광역시 금정구 회동동 157-6,070-4322-3113,artdp.org/,정보없음,정보없음,정보없음,매주 일요일,10:00-19:00,N,Y,N,N,N,N,N,N,N,N,N,2022-11-25
오륙도전망대,,문화관광/명소,관광지,유명관광지,부산광역시,남구,용호동,,,,,35.11396566,129.116007,,,부산광역시 남구 용호동,051-601-3408,korean.visitkorea.or.kr/,정보없음,정보없음,정보없음,상시변동,09:00-18:00 (입장마감 17:50),N,Y,N,Y,N,Y,Y,N,Y,Y,N,2022-11-25
오륙도해맞이공원,,레저/체육/공원,공원,대형시민/도심공원,부산광역시,남구,용호동,,산 196-8 번지,,,35.10396869,129.124119,48594,,부산광역시 남구 용호동 산 196-8,051-888-3636,정보없음,정보없음,정보없음,정보없음,연중무휴,상시개방,N,Y,N,Y,N,N,Y,Y,Y,N,N,2022-11-25
오륜대한국순교자박물관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,금정구,부곡동,,1-4 번지,오륜대로,106-1 번,35.24570172,129.100902,46265,부산광역시 금정구 오륜대로 106-1,부산광역시 금정구 부곡동 1-4,051-583-2923,www.oryundaemuseum.com,정보없음,정보없음,정보없음,"매주 월요일, 공휴일","매일 10:00-17:00 (점심시간, 12:00-13:00)",Y,N,Y,N,N,N,N,Y,N,N,N,2022-11-25
오색빛깔행복체험공방,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,동구,범일동,,1542-1 번지,안창로,57 번,35.14563025,129.04243,48700,부산광역시 동구 안창로 57,부산광역시 동구 범일동 1542-1,051-635-3367,정보없음,정보없음,정보없음,정보없음,"매주 토요일, 일요일, 공휴일",10:00-18:00,N,Y,N,N,N,N,N,N,N,N,Y,2022-11-25
오케이스크린골프존, 좌1동,레저/체육/공원,대형체육시설,N,부산광역시,해운대구,좌동,,1461-1 번지,좌동로,88 번,35.17196445,129.174953,48106,부산광역시 해운대구 좌동로 88,부산광역시 해운대구 좌동 1461-1,051-703-0888,정보없음,정보없음,정보없음,정보없음,연중무휴,24시간 영업,Y,Y,Y,Y,N,N,Y,N,N,Y,N,2022-11-25
오페라바움,,전시/공연,전시/기념관,N,부산광역시,기장군,기장읍,시랑리,721-1 번지,동부산관광7로,31 번,35.1886431,129.215813,46084,부산광역시 기장군 기장읍 동부산광역시관광7로 31,부산광역시 기장군 기장읍 시랑리 721-1,051-722-9597,band.us/band/78739800/post/259,m.blog.naver.com/shimss60,정보없음,정보없음,정보없음,정보없음,N,N,Y,N,N,N,N,N,N,N,N,2022-11-25
오픈스페이스배,,전시/공연,영화/연극/공연,N,부산광역시,해운대구,중동,,1502-13 번지,달맞이길65번길,158 번,35.15658257,129.178646,48117,부산광역시 해운대구 달맞이길65번길 158,부산광역시 해운대구 중동 1502-13,051-724-5201,정보없음,정보없음,정보없음,정보없음,매주 일요일,11:00-18:00,N,N,N,N,N,N,N,N,Y,N,N,2022-11-25
올림픽기념국민생활소극장,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,해운대구,우동,,1127-37 번지,APEC로,68 번,35.16742611,129.137696,48060,부산광역시 해운대구 APEC로 68,부산광역시 해운대구 우동 1127-37,051-744-1181,정보없음,정보없음,정보없음,정보없음,"매주 일요일, 공휴일","평일 06:00-21:00, 토요일 06:00-18:00",N,Y,N,Y,N,Y,Y,Y,N,Y,N,2022-11-25
와우요트,,레저/체육/공원,대형레저시설,요트장,부산광역시,해운대구,우동,,1393 번지,해운대해변로,84 번,35.15979857,129.141957,48090,부산광역시 해운대구 해운대해변로 84,부산광역시 해운대구 우동 1393,,www.wowyacht.com,정보없음,정보없음,http://www.instagram.com/wow_yacht_club,연중무휴,매일13:00-22:00,Y,N,Y,Y,N,N,Y,Y,Y,N,N,2022-11-25
왕길지기념관,,전시/공연,전시/기념관,대형기념관/묘역,부산광역시,동구,좌천동,,490 번지,정공단로,19 번,35.13478935,129.053439,48724,부산광역시 동구 정공단로 19,부산광역시 동구 좌천동 490,051-647-2452,정보없음,정보없음,정보없음,정보없음,연중무휴,11:00-18:00,Y,N,N,N,N,N,N,N,N,N,N,2022-11-25
